Name,Dates
forum_szajbajk_pl_corpus,2023-08-14 20:24:00
forum_trojmiasto_pl_corpus,2023-08-08 18:06:00
forum_vectraklub_pl_corpus,2023-06-23 20:32:00
forum_vitalia_pl_corpus,2023-05-12 10:51:00
forum_vw-passat_pl_corpus,2023-08-14 20:25:00
forum_wizaz_pl_corpus,2023-04-14 17:29:00
forum_wresting_pl_corpus,2023-08-14 20:25:00
forum_zadania_info_pl_corpus,2023-05-23 12:42:00
forum_zegarkiclub_pl_corpus,2023-08-04 21:09:00
gowork,2023-06-24 12:53:00
ISAP_corpus,2023-02-09 10:23:00
job_offers_pl_corpus,2023-07-01 16:33:00
m-forum_pl_corpus,2023-06-23 21:44:00
news_10_general_corpus,2023-08-20 21:50:00
news_11_it_corpus,2023-07-08 09:35:00
news_12_general_corpus,2023-08-31 21:06:00
news_13_general_corpus,2023-07-08 09:03:00
news_14_general_corpus,2023-07-08 10:39:00
news_15_general_corpus,2023-07-08 11:03:00
news_16_general_corpus,2023-07-08 11:50:00
news_17_general_corpus,2023-07-08 12:37:00
news_18_general_corpus,2023-07-08 13:03:00
news_19_general_corpus,2023-07-08 13:26:00
news_1_general_corpus,2023-02-13 15:19:00
news_20_general_corpus,2023-07-08 13:58:00
news_21_it_corpus,2023-07-08 14:27:00
news_22_general_corpus,2023-07-08 14:35:00
news_23_general_corpus,2023-08-24 08:27:00
news_24_general_corpus,2023-07-09 14:25:00
news_25_general_corpus,2023-07-08 15:01:00
news_26_general_corpus,2023-07-08 16:37:00
news_27_general_corpus,2023-07-08 17:28:00
news_28_general_corpus,2023-07-08 19:01:00
news_29_general_corpus,2023-08-24 09:29:00
news_2_it_corpus,2023-02-12 15:17:00
news_30_general_corpus,2023-08-28 09:09:00
news_31_general_corpus,2023-08-28 09:11:00
news_3_automotive_corpus,2023-02-14 12:39:00
news_4_business_corpus,2023-02-14 13:01:00
news_5_lifestyle_corpus,2023-02-15 14:09:00
news_6_general_corpus,2023-02-15 14:33:00
news_7_general_corpus,2023-02-18 15:54:00
news_8_general_corpus,2023-03-15 12:03:00
news_9_general_corpus,2023-07-06 20:53:00
OCR,2023-06-27 07:51:00
open_subtitles_corpus,2022-12-09 08:31:00
plwiki-old,2023-06-06 12:48:00
plwiki,2022-12-12 09:26:00
poetry_corpus,2023-07-29 22:34:00
PPC_corpus,2023-01-25 12:07:00
project_gutenberg_pl_corpus,2023-01-26 10:37:00
saos,2023-06-27 17:33:00
shopping_1_general_corpus,2023-07-10 20:41:00
songs_general_corpus,2023-07-01 14:16:00
thesis,2022-12-12 07:58:00
ulotki_medyczne,2023-07-28 14:54:00
usenet,2023-06-23 20:32:00
web_artykuły_blogi_1,2023-06-27 21:04:00
web_artykuły_blogi_2,2023-06-27 21:16:00
web_artykuły_blogi_3,2023-06-27 21:32:00
web_artykuły_edukacja_1,2023-06-27 22:16:00
web_artykuły_edukacja_2,2023-06-26 10:10:00
web_artykuły_finanse_1,2023-07-28 14:43:00
web_artykuły_finanse_2,2023-07-28 14:42:00
web_artykuły_finanse_3,2023-07-28 14:41:00
web_artykuły_inne_1,2023-06-28 16:20:00
web_artykuły_inne_2,2023-07-28 14:36:00
web_artykuły_inne_3,2023-07-28 14:38:00
web_artykuły_inne_4,2023-08-24 16:46:00
web_artykuły_inne_5,2023-09-03 16:40:00
web_artykuły_inne_edukacja_1,2023-06-28 16:30:00
web_artykuły_inne_edukacja_2,2023-06-23 20:32:00
web_artykuły_inne_zdrowie_1,2023-06-30 20:11:00
web_artykuły_inne_zdrowie_2,2023-07-02 16:25:00
web_artykuły_inne_zdrowie_3,2023-07-03 07:56:00
web_artykuły_sport_1,2023-06-23 20:32:00
web_artykuły_sport_2,2023-07-03 12:38:00
web_artykuły_urzędy,2023-06-28 16:37:00
web_artykuły_zdrowie,2023-06-30 10:43:00
web_dokumenty_edukacja,2023-02-09 18:56:00
web_dokumenty_inne,2023-02-14 12:17:00
web_dokumenty_inne_ankiety,2023-07-05 12:49:00
web_dokumenty_inne_biuletyny,2023-07-05 13:11:00
web_dokumenty_inne_gazety,2023-07-05 13:43:00
web_dokumenty_inne_instrukcje,2023-06-23 20:32:00
web_dokumenty_inne_katalogi,2023-07-05 16:37:00
web_dokumenty_inne_klauzule,2023-07-05 18:42:00
web_dokumenty_inne_raporty,2023-07-05 20:35:00
web_dokumenty_inne_regulaminy,2023-07-06 08:40:00
web_dokumenty_inne_statuty,2023-07-06 09:47:00
web_dokumenty_nieskategoryzowane,2023-02-27 00:53:00
web_dokumenty_prawo_inne,2023-07-04 12:52:00
web_dokumenty_prawo_rozporzadzenia,2023-07-05 08:05:00
web_dokumenty_prawo_uchwały,2023-07-05 09:20:00
web_dokumenty_prawo_ustawy,2023-07-05 10:56:00
web_dokumenty_prawo_zarzadzenia,2023-07-05 11:29:00
web_dokumenty_religia,2023-02-09 20:32:00
web_tekst_inne,2023-07-07 20:28:00
wolne_lektury_corpus,2022-12-21 12:16:00
